"","SPECIES","SURVEY","CRUISE","VESSEL_NAME","YEAR","LATITUDE","LONGITUDE","DEPTH_M","BOTTOM_TEMPERATURE_C","WEIGHT_KG","COUNT","AREA_SWEPT_KM2","CPUE_KGKM2","CPUE_NOKM2","ColdPool_Extent"
"208","YFS","EBS",202401,"ALASKA KNIGHT",2024,57.0003,-167.00352,76,3.2,8.74,16,0.049534608,176.442296666605,323.006492753511,-0.0048340472280944
"209","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,57.64947,-166.48896,67,2.7,506.719,1338,0.044653684,11347.7535246588,29963.9330990025,-0.0048340472280944
"210","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,57.32317,-166.47844,70,2.8,17.155,31,0.046287801,370.61600744438,669.722893079323,-0.0048340472280944
"211","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,56.9838,-166.45159,74,3.1,3.15,4,0.047637696,66.1241047425971,83.9671171334567,-0.0048340472280944
"212","YFS","EBS",202401,"ALASKA KNIGHT",2024,55.67937,-166.98823,135,4,0,0,0.04857175,0,0,-0.0048340472280944
"213","YFS","EBS",202401,"ALASKA KNIGHT",2024,56.01529,-166.98839,134,4.2,0,0,0.054776592,0,0,-0.0048340472280944
"214","YFS","EBS",202401,"ALASKA KNIGHT",2024,56.34965,-167.02109,113,4,0,0,0.04743377,0,0,-0.0048340472280944
"215","YFS","EBS",202401,"ALASKA KNIGHT",2024,56.68413,-167.05491,96,3.4,0,0,0.044550176,0,0,-0.0048340472280944
"216","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,55.68937,-166.39056,126,4.1,0,0,0.049738455,0,0,-0.0048340472280944
"217","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,56.01046,-166.40931,124,3.9,0,0,0.04771668,0,0,-0.0048340472280944
"218","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,56.34244,-166.41374,104,3.9,0,0,0.05134727,0,0,-0.0048340472280944
"219","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,56.67471,-166.44329,85,3.2,0,0,0.045437847,0,0,-0.0048340472280944
"220","YFS","EBS",202401,"ALASKA KNIGHT",2024,58.00483,-167.13556,63,2,389.497,1039,0.042997446,9058.60780661251,24164.2259403035,-0.0048340472280944
"221","YFS","EBS",202401,"ALASKA KNIGHT",2024,58.33642,-167.18148,52,1.6,293.635,999,0.044120808,6655.24983132675,22642.3777189212,-0.0048340472280944
"222","YFS","EBS",202401,"ALASKA KNIGHT",2024,58.6964,-167.23534,44,2.1,578.016,3628,0.043799734,13196.7924736712,82831.5532692504,-0.0048340472280944
"223","YFS","EBS",202401,"ALASKA KNIGHT",2024,59.00319,-167.23569,40,2.4,105.47,912,0.041016248,2571.41998946369,22235.0908352222,-0.0048340472280944
"224","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,58.34974,-166.55854,47,1.8,196.704,817,0.044925244,4378.47371513441,18185.76655922,-0.0048340472280944
"225","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,58.69232,-166.56378,41,2.1,122.88,594,0.04505952,2727.05967573556,13182.5638621983,-0.0048340472280944
"226","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,59.02522,-166.58105,34,4.1,236.81,1286,0.042762045,5537.85488977433,30073.3980332325,-0.0048340472280944
"227","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,59.35292,-166.60478,28,3.7,183.885,869,0.045305776,4058.75400964327,19180.7773030971,-0.0048340472280944
"228","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,59.33255,-165.91047,25,4.9,150.126,1198,0.039233425,3826.48213863561,30535.1877894933,-0.0048340472280944
"229","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,59.33237,-165.27805,22,5.4,329.268,1673,0.04133691,7965.47202004214,40472.3042917335,-0.0048340472280944
"230","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,59.32119,-164.64207,23,5.7,239.548,1254,0.04037699,5932.7849847153,31057.2927798729,-0.0048340472280944
"231","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,58.97362,-164.65048,28,4.7,338.57,1302,0.04578853,7394.20985998022,28435.0687825095,-0.0048340472280944
"232","YFS","EBS",202401,"ALASKA KNIGHT",2024,59.35679,-167.24199,31,3.6,117.17,678,0.041565816,2818.90291772451,16311.4805685518,-0.0048340472280944
"233","YFS","EBS",202401,"ALASKA KNIGHT",2024,59.66402,-167.2547,32,3.4,205.37,1978,0.042621503,4818.45982766023,46408.4994844034,-0.0048340472280944
"234","YFS","EBS",202401,"ALASKA KNIGHT",2024,59.66451,-166.59576,28,4.9,246.78,3967,0.044506638,5544.79086917327,89132.7716103831,-0.0048340472280944
"235","YFS","EBS",202401,"ALASKA KNIGHT",2024,59.63135,-165.89426,27,5.6,206.48,3175,0.044677184,4621.5983531997,71065.3563125196,-0.0048340472280944
"236","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,58.66661,-164.68997,37,3.5,369.959,2128,0.04162648,8887.58790077854,51121.3054767062,-0.0048340472280944
"237","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,58.65774,-165.31659,40,2.5,286.591,1371,0.04521179,6338.8554180226,30323.9486868359,-0.0048340472280944
"238","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,58.32133,-165.26469,46,2.5,289.388,1973,0.045242047,6396.43913547944,43609.8746813998,-0.0048340472280944
"239","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,58.33231,-164.61711,45,2.9,418.031,1771,0.044093104,9480.6435038005,40165.0108370688,-0.0048340472280944
"240","YFS","EBS",202401,"ALASKA KNIGHT",2024,58.99954,-165.32458,28,4.3,314.555,1480,0.042200192,7453.87603923698,35070.9304829703,-0.0048340472280944
"241","YFS","EBS",202401,"ALASKA KNIGHT",2024,58.99801,-165.92566,31,3.8,173.183,656,0.045765624,3784.12845414279,14333.9026689552,-0.0048340472280944
"242","YFS","EBS",202401,"ALASKA KNIGHT",2024,58.662,-165.90136,38,2.7,388.285,2638,0.041957212,9254.30888973271,62873.5770146024,-0.0048340472280944
